City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Lagoa,PT,60.19,few clouds,39.05,-27.9833,Casa Das Faias
3,Ushuaia,AR,55.81,overcast clouds,-54.8,-68.3,Albatross Hotel
8,East London,ZA,74.82,clear sky,-33.0153,27.9116,Tu Casa
10,Punta Arenas,CL,69.91,broken clouds,-53.15,-70.9167,Hotel Hain
18,Pinheiro Machado,BR,69.06,overcast clouds,-31.5783,-53.3811,Hotel e Restaurante Quitandinha
23,New Norfolk,AU,52.72,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
26,Kerrville,US,57.45,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
29,Gazipur,BD,64.36,haze,23.9981,90.423,Murshida & Zakir's Nest
30,Cape Town,ZA,69.1,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
31,Hilo,US,71.26,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
34,Ruwi,OM,71.29,clear sky,23.5996,58.5507,Al Falaj Hotel
35,Hobart,AU,53.06,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
38,Mar Del Plata,AR,68.09,mist,-38.0023,-57.5575,Gran Hotel Mar del Plata
40,Sibu,MY,73.31,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
44,Llanes,ES,51.89,broken clouds,43.4198,-4.7549,Hotel La Paz
47,Busselton,AU,54.09,broken clouds,-33.65,115.3333,Observatory Guest House
48,Hermanus,ZA,67.89,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
49,Sao Filipe,CV,73.81,clear sky,14.8961,-24.4956,Hotel Xaguate
53,Dubbo,AU,55.53,clear sky,-32.25,148.6167,Quality Inn Dubbo International
58,Port Lincoln,AU,70.99,clear sky,-34.7333,135.8667,Port Lincoln Hotel
59,Victoria,HK,62.65,overcast clouds,22.2855,114.1577,Mini Hotel Central
62,Metro,ID,73.11,heavy intensity rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
64,Carnarvon,AU,73.58,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
70,Constitucion,CL,71.74,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
73,Alamos,MX,62.71,clear sky,27.0167,-108.9333,Luz del Sol
75,Portland,US,56.28,fog,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
76,Harer,ET,60.39,clear sky,9.3094,42.1258,Amir Cultural Harari Guesthouse
81,San Javier,ES,57.22,clear sky,37.8063,-0.8374,Hotel Mar Menor
82,Lubango,AO,62.55,overcast clouds,-14.9172,13.4925,Hotel Serra da Chela
83,Moussoro,TD,71.11,clear sky,13.6408,16.4901,Hôtel Salama
84,Lingao,CN,66.67,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
92,Codrington,AU,57.51,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
93,Saint George,US,59.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
94,Benghazi,LY,61.38,overcast clouds,32.1167,20.0667,Tibesti Hotel
97,Jalu,LY,60.94,clear sky,29.0331,21.5482,صاحبة الفخامة
99,Ratnagiri,IN,71.08,broken clouds,16.9833,73.3,Hotel Landmark
100,Darnah,LY,58.73,overcast clouds,32.767,22.6367,فندق الفردوس
103,Arona,ES,63.91,clear sky,28.0996,-16.681,Paradise Court
106,Bowen,AU,73.69,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
107,Najran,SA,60.28,clear sky,17.4924,44.1277,محمد هادي ال فطيح
109,Great Bend,US,50.88,clear sky,38.3645,-98.7648,Best Western Angus Inn
113,Bayonet Point,US,64.35,overcast clouds,28.3267,-82.6834,Homewood Suites by Hilton Tampa-Port Richey
117,San Patricio,US,64.38,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
121,Bredasdorp,ZA,66.27,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
