City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,2022-02-06 19:09:25,-21.2,-175.2,75.36,94,100,10.36,light rain
1,Mataura,NZ,2022-02-06 19:11:48,-46.1927,168.8643,43.48,90,10,0.92,clear sky
2,Lagoa,PT,2022-02-06 19:08:46,39.05,-27.9833,60.19,85,16,12.15,few clouds
3,Ushuaia,AR,2022-02-06 19:11:49,-54.8,-68.3,55.81,81,100,8.32,overcast clouds
4,Lenger,KZ,2022-02-06 19:11:49,42.183,69.8839,29.64,97,100,8.97,snow
5,Upernavik,GL,2022-02-06 19:09:47,72.7868,-56.1549,-12.98,97,100,6.58,overcast clouds
6,Talaya,RU,2022-02-06 19:11:50,61.3833,152.75,-35.82,88,9,1.86,clear sky
7,Arraial Do Cabo,BR,2022-02-06 19:11:51,-22.9661,-42.0278,84.06,65,0,14.97,clear sky
8,East London,ZA,2022-02-06 19:11:08,-33.0153,27.9116,74.82,82,1,22.03,clear sky
9,Kodiak,US,2022-02-06 19:09:14,57.79,-152.4072,36.91,70,0,10.36,clear sky
10,Punta Arenas,CL,2022-02-06 19:11:52,-53.15,-70.9167,69.91,52,75,16.11,broken clouds
11,Bluff,NZ,2022-02-06 19:11:52,-46.6,168.3333,43.81,78,6,4.79,clear sky
12,Nieuw Amsterdam,SR,2022-02-06 19:11:53,5.8833,-55.0833,86.14,71,40,4.61,scattered clouds
13,Kapaa,US,2022-02-06 19:11:53,22.0752,-159.319,75.52,80,75,1.01,light rain
14,Zhigansk,RU,2022-02-06 19:11:54,66.7697,123.3711,-25.56,99,96,6.49,overcast clouds
15,Rikitea,PF,2022-02-06 19:11:54,-23.1203,-134.9692,79.09,70,2,16.75,clear sky
16,Jamestown,US,2022-02-06 19:07:01,42.097,-79.2353,34.52,30,0,13.8,clear sky
17,Puerto Ayora,EC,2022-02-06 19:09:18,-0.7393,-90.3518,82.36,86,58,8.01,broken clouds
18,Pinheiro Machado,BR,2022-02-06 19:11:55,-31.5783,-53.3811,69.06,63,98,11.81,overcast clouds
19,Albany,US,2022-02-06 19:07:26,42.6001,-73.9662,27.82,51,13,3.0,few clouds
20,Gavrilov Posad,RU,2022-02-06 19:11:56,56.5597,40.1175,6.28,100,91,5.57,overcast clouds
21,Golovino,RU,2022-02-06 19:11:56,55.9613,40.4251,6.1,99,90,4.36,overcast clouds
22,Port Blair,IN,2022-02-06 19:11:57,11.6667,92.75,78.66,81,12,9.93,few clouds
23,New Norfolk,AU,2022-02-06 19:09:28,-42.7826,147.0587,52.72,75,4,1.95,clear sky
24,Bakchar,RU,2022-02-06 19:11:58,57.0186,82.0711,9.03,89,100,5.06,overcast clouds
25,Vestmannaeyjar,IS,2022-02-06 19:11:58,63.4427,-20.2734,33.73,57,100,9.33,overcast clouds
26,Kerrville,US,2022-02-06 19:08:58,30.0474,-99.1403,57.45,35,0,4.0,clear sky
27,Cabedelo,BR,2022-02-06 19:11:59,-6.9811,-34.8339,86.67,62,20,10.45,few clouds
28,Klaksvik,FO,2022-02-06 19:10:56,62.2266,-6.589,36.52,59,81,35.88,broken clouds
29,Gazipur,BD,2022-02-06 19:11:59,23.9981,90.423,64.36,72,40,0.0,haze
30,Cape Town,ZA,2022-02-06 19:08:47,-33.9258,18.4232,69.1,73,15,1.01,few clouds
31,Hilo,US,2022-02-06 19:10:53,19.7297,-155.09,71.26,91,100,5.75,heavy intensity rain
32,Narsaq,GL,2022-02-06 19:09:43,60.9167,-46.05,7.02,72,100,1.16,overcast clouds
33,Castro,BR,2022-02-06 19:12:00,-24.7911,-50.0119,77.86,67,29,6.71,moderate rain
34,Ruwi,OM,2022-02-06 19:12:01,23.5996,58.5507,71.29,56,0,10.6,clear sky
35,Hobart,AU,2022-02-06 19:09:13,-42.8794,147.3294,53.06,87,5,1.01,clear sky
36,Bandarbeyla,SO,2022-02-06 19:07:42,9.4942,50.8122,75.87,72,100,14.9,overcast clouds
37,Black Diamond,US,2022-02-06 19:12:02,47.3087,-122.0032,46.94,53,10,2.55,clear sky
38,Mar Del Plata,AR,2022-02-06 19:08:27,-38.0023,-57.5575,68.09,88,75,5.01,mist
39,San Vicente,AR,2022-02-06 19:12:02,-26.6167,-54.1333,85.86,24,0,7.2,clear sky
40,Sibu,MY,2022-02-06 19:12:03,2.3,111.8167,73.31,99,100,0.85,overcast clouds
41,Touros,BR,2022-02-06 19:12:03,-5.1989,-35.4608,86.9,63,1,13.51,clear sky
42,Atuona,PF,2022-02-06 19:09:16,-9.8,-139.0333,78.78,72,0,19.04,clear sky
43,Mehamn,NO,2022-02-06 19:12:04,71.0357,27.8492,18.64,89,30,14.83,scattered clouds
44,Llanes,ES,2022-02-06 19:13:05,43.4198,-4.7549,51.89,70,71,8.63,broken clouds
45,Vilyuysk,RU,2022-02-06 19:13:05,63.7553,121.6247,-14.98,98,100,6.91,overcast clouds
46,Victor Harbor,AU,2022-02-06 19:13:06,-35.5667,138.6167,77.79,61,0,7.36,clear sky
47,Busselton,AU,2022-02-06 19:13:06,-33.65,115.3333,54.09,53,64,17.92,broken clouds
48,Hermanus,ZA,2022-02-06 19:13:06,-34.4187,19.2345,67.89,89,9,8.19,clear sky
49,Sao Filipe,CV,2022-02-06 19:13:07,14.8961,-24.4956,73.81,71,0,10.89,clear sky
50,Port Alfred,ZA,2022-02-06 19:13:07,-33.5906,26.891,75.02,82,47,26.22,scattered clouds
51,Bengkulu,ID,2022-02-06 19:11:11,-3.8004,102.2655,76.1,88,100,9.84,overcast clouds
52,Vanavara,RU,2022-02-06 19:13:08,60.34,102.2797,-13.76,100,93,2.48,overcast clouds
53,Dubbo,AU,2022-02-06 19:12:21,-32.25,148.6167,55.53,94,0,8.05,clear sky
54,Yellowknife,CA,2022-02-06 19:13:09,62.456,-114.3525,-4.59,87,100,13.8,light snow
55,Caravelas,BR,2022-02-06 19:13:09,-17.7125,-39.2481,83.34,65,7,10.25,clear sky
56,Avarua,CK,2022-02-06 19:13:10,-21.2078,-159.775,77.05,88,85,10.36,overcast clouds
57,Chuy,UY,2022-02-06 19:08:37,-33.6971,-53.4616,75.27,39,3,16.82,clear sky
58,Port Lincoln,AU,2022-02-06 19:13:10,-34.7333,135.8667,70.99,69,0,12.59,clear sky
59,Victoria,HK,2022-02-06 19:10:08,22.2855,114.1577,62.65,84,100,1.01,overcast clouds
60,Iqaluit,CA,2022-02-06 19:08:44,63.7506,-68.5145,-32.31,66,71,1.99,broken clouds
61,Ciudad Ojeda,VE,2022-02-06 19:13:11,10.1964,-71.3082,84.67,61,0,10.58,clear sky
62,Metro,ID,2022-02-06 19:13:12,-5.1131,105.3067,73.11,96,99,4.7,heavy intensity rain
63,Saint-Philippe,RE,2022-02-06 19:11:15,-21.3585,55.7679,78.39,80,99,15.5,overcast clouds
